-11857,12250,1642,153,-246,480
-10961,12705,-2125,257,-157,383
-11758,9926,-1737,-761,-268,534
-13688,9579,3539,-916,-420,591
-11775,10375,5534,-710,-292,676
-12444,10156,1385,-403,-62,685
-12221,9846,-2006,-175,-108,688
-11160,10353,2847,-126,-328,835
-12191,9505,940,-29,-273,868
-11554,9438,538,-187,-211,957
-10630,13275,2512,-307,-235,1071
-11864,13126,2033,-380,-207,1042
-10813,14271,-383,-306,-164,974
-11445,12776,162,-323,-242,879
-11525,11075,-44,-267,-294,846
-11551,12557,2572,-140,-307,874
-10568,11910,139,80,-208,846
-11815,12408,172,140,-206,838
-11314,13237,1333,300,-230,827
-11236,12253,988,406,-180,775
-11508,11880,-220,381,-163,767
-10989,11780,469,356,-191,758
-11005,12449,1044,360,-236,770
-11003,12442,758,340,-247,763
-10983,12685,1588,343,-262,735
-10719,12030,1789,343,-195,727
-10949,12816,1212,323,-157,753
-10585,13757,1616,288,-144,750
-10374,13718,501,266,-141,704
-10660,13631,1518,238,-148,659
-10569,13602,1471,234,-96,626
-10560,13822,1707,205,-75,600
-10692,13286,1615,209,-37,569
-10695,13310,1124,283,-12,547
-10706,13887,952,405,-17,541
-10558,14545,1022,474,-6,519
-10697,14692,1151,538,-18,466
-10722,14388,1032,574,20,425
-10839,15071,1480,585,54,379
-10551,14320,330,631,130,298
-10257,14206,813,642,143,276
-10198,14852,766,651,182,228
-10632,13610,-381,722,172,129
-10437,13415,286,758,113,63
-10503,12798,738,742,121,12
-10473,12472,1915,788,101,-38
-9413,12861,1497,827,177,-45
-10876,13609,-631,862,240,-86
-11043,11853,-695,841,217,-113
-10676,11512,228,772,176,-75
-10847,11093,-1876,657,207,21
-10617,12263,-1994,511,176,120
-10981,10683,-1064,409,130,189
-10740,13271,280,233,140,280
-11205,12523,-1853,281,33,268
-11458,13733,-418,96,11,303
-7896,12685,-8559,-107,15,357
-15636,7501,-5037,-319,-301,363
-11272,13177,-2283,-1032,-331,507
-11115,9370,-1685,-1051,-441,639
-8899,13572,-2373,-1443,-468,720
-9908,15395,947,-1254,-680,686
-9713,16796,1536,-1259,-348,564
-9609,16302,1509,-900,-349,381
-10097,13207,3422,-484,-328,221
-10527,12594,2405,-269,-140,190
-10494,12790,1072,-219,-45,211
-10234,13658,-486,-229,-10,223
-10292,13562,-90,-332,-15,215
-10283,13351,-675,-344,-30,190
-10335,13310,-816,-323,-80,169
-10398,13299,-193,-309,-140,149
-10389,13288,467,-316,-165,132
-10413,13246,509,-292,-166,121
-10447,13140,467,-273,-153,104
-10412,12884,41,-260,-145,88
-10587,12671,104,-242,-152,64
-10667,12465,815,-222,-188,60
-10727,12372,647,-200,-165,65
-10648,12519,1577,-210,-132,69
-10612,12527,323,-188,-104,67
-10523,12664,619,-227,-120,69
-10481,12691,908,-259,-115,57
-10479,12375,613,-281,-92,42
-10497,12768,865,-267,-79,28
-11424,9173,-396,-212,-58,2
-10967,9956,1476,-277,-48,93
-10861,11868,826,-268,-3,165
-10920,12474,242,119,-158,155
-10952,12212,354,140,-175,149
-10855,11940,861,133,-200,160
-10745,11973,958,155,-184,175
-10946,11997,751,151,-167,193
-10839,12010,568,104,-181,209
-10901,12005,728,86,-187,214
-10865,11928,721,59,-175,228
-10918,11995,655,17,-191,239
-10811,12128,1175,-10,-203,247
-10801,12619,1641,-32,-158,209
-11075,12283,1958,-82,-147,194
-11100,12475,2139,-47,-115,205
-11071,12492,1186,-50,-44,218
-11100,12638,812,-19,-29,219
-11117,12546,833,-10,-40,222
-11104,12406,806,20,-36,216
-11032,12361,760,37,-45,219
-10944,12305,889,48,-57,220
-10853,12111,1006,66,-64,215
-10820,12004,982,84,-68,218
-10832,11999,1020,77,-70,219
