11131,-13573,3977,-831,-1686,-1
11998,-13266,4189,-813,-1673,5
12382,-13174,5235,-787,-1675,16
12850,-12542,5596,-779,-1575,25
12501,-13639,4800,-798,-1489,13
12299,-13577,3540,-791,-1403,32
12163,-13741,2967,-804,-1394,41
11232,-14708,3158,-795,-1414,55
11150,-14915,2438,-808,-1446,92
11242,-15260,3478,-802,-1482,128
11324,-15443,4016,-806,-1530,165
11304,-15309,4378,-794,-1552,212
13505,-14186,6626,-740,-1588,246
14699,-16203,8496,-656,-1557,238
16487,-15749,11261,-523,-1458,277
17270,-16219,12569,-464,-1247,313
18870,-15416,12447,-384,-982,338
20304,-18234,14611,-297,-808,322
19876,-16548,12341,-243,-495,342
20057,-17921,13347,-133,-260,358
19572,-18170,12441,-53,-49,376
18976,-16731,9776,1,146,403
18252,-16797,7424,78,294,443
16574,-16690,5657,111,360,479
14433,-16434,1857,121,420,513
14036,-15675,908,132,363,566
12918,-15330,-972,122,319,593
12716,-13958,-1732,98,221,635
12339,-12562,-494,50,86,637
11964,-11431,285,14,45,620
11476,-10758,-117,4,19,568
10732,-11301,-1988,-22,-16,521
10240,-11437,-2450,-37,-128,500
10302,-11877,-1888,-60,-252,470
10711,-12066,-733,-82,-353,450
11028,-14164,7370,-46,-273,459
11044,-10806,-5151,-54,47,512
10522,-12033,-687,12,-251,434
10883,-11662,-388,64,-323,388
10767,-11697,-2098,101,-439,307
10777,-12072,1152,117,-551,244
10591,-10988,-838,115,-552,196
10161,-11941,448,100,-634,123
9790,-12455,3026,48,-591,93
9513,-12040,238,14,-446,87
9268,-11855,421,-28,-450,76
8989,-12045,204,-56,-444,70
8755,-12083,184,-85,-452,62
8757,-12348,21,-127,-447,59
8878,-12523,107,-152,-446,73
9134,-12593,169,-180,-444,97
9931,-11696,693,-212,-415,135
10118,-11372,1018,-215,-375,138
9958,-11561,1912,-209,-332,128
10124,-11611,1462,-227,-236,133
10296,-11597,1802,-241,-172,136
10312,-11704,2134,-237,-122,137
10225,-11893,1987,-227,-29,155
10139,-11772,1433,-219,43,180
10279,-12179,2408,-225,82,169
10192,-12632,2432,-159,236,184
10493,-12759,2502,-64,389,216
10726,-12746,2259,-51,458,226
